Stem,Year,DBH,Comment
WF002,2014,5.9,
WF004,2014,3.8,
315,1993,16.1,
315,1996,16.6,
315,1999,17.1,
315,2002,17.3,
315,2005,17.8,
315,2014,19.2,
316,1993,4.7,
316,1996,4.7,
316,1999,4.8,
316,2002,4.9,
316,2005,4.9,
316,2014, NA,dead
317,1993,4.4,
317,1996,4.6,
317,1999,4.6,
317,2002,4.8,
317,2005, NA,dead
318,1993,40.6,
318,1996,41.9,
318,1999,43.4,
318,2002,44.7,
318,2005,46.0,
318,2014,49.9,
763,1993,3.1,
763,1996,3.5,
763,1999, NA,cut
WG677,2014,3.2,
WF010,2014,3.5,
WF012,2014,3.9,bark-stripped
WF013,2014,3.5,bark-stripped
WG678,2014,3.5,bark-stripped
1319,1993,12.7,
1319,1996,14.0,
1319,1999,15.0,
1319,2002,15.9,
1319,2005,16.8,
1319,2014,17.9,
1320,1993,31.0,
1320,1996, NA,dead
1321,1993,13.6,
1321,1996,14.3,
1321,1999,14.7,
1321,2002,14.8,
1321,2005,14.8,
1321,2014,15.0,
1322,1993,5.0,estimated
1322,1996,5.0,
1322,1999, NA,dead
1323,1993,6.6,
1323,1996,6.4,
1323,1999, NA,dead
1324,1993,16.1,
1324,1996,16.6,
1324,1999,17.1,
1324,2002,17.2,
1324,2005,17.3,
1324,2014,17.8,
1325,1993,9.9,
1325,1996,10.0,
1325,1999,10.2,
1325,2002,10.6,
1325,2005,10.9,
1325,2014,12.1,
1764,1993,3.4,
1764,1996,3.6,
1764,1999,3.8,fallen
1764,2002,3.8,
1764,2005,3.5,
1764,2014,4.0,fallen
1765,1993,4.1,
1765,1996,4.1,
1765,1999,4.3,
1765,2002,4.5,
1765,2005,4.6,
1765,2014,5.5,
WF020,2014,3.7,
2245,2005,3.2,
2245,2014,5.3,
2246,2005,4.2,
2246,2014,4.7,
2326,1993,9.9,
2326,1996,11.2,
2326,1999,12.5,
2326,2002,14.1,
2326,2005,15.4,
2326,2014,17.2,
2327,1993,7.7,
2327,1996,8.0,
2327,1999,8.2,
2327,2002,8.5,
2327,2005,8.7,
2327,2014,9.7,
2328,1993,18.5,
2328,1996,20.0,
2328,1999,21.6,
2328,2002,23.5,
2328,2005,25.1,
2328,2014,30.4,weaken/frass
2329,1993,15.8,
2329,1996,16.5,
2329,1999,17.2,
2329,2002,17.7,
2329,2005,18.2,
2329,2014,19.0,
2330,1993,5.6,
2330,1996, NA,dead
2331,1993,11.1,
2331,1996,12.1,
2331,1999,13.1,
2331,2002,14.0,
2331,2005,14.8,
2331,2014,16.2,
2332,1993,6.1,
2332,1996,6.0,
2332,1999, NA,dead
2333,1993,4.6,
2333,1996,4.6,
2333,1999,4.7,
2333,2002,4.7,
2333,2005,4.7,
2333,2014, NA,dead
2334,1993,20.4,
2334,1996,21.7,
2334,1999,24.6,
2334,2002,26.4,
2334,2005,29.0,
2334,2014,35.8,
2335,1993,6.9,
2335,1996,6.9,
2335,1999, NA,dead
2336,1993,7.4,
2336,1996,7.4,
2336,1999, NA,dead
2337,1993,4.3,
2337,1996,4.6,
2337,1999,5.2,
2337,2002,5.7,
2337,2005,6.5,
2337,2014,5.6,shrunk
2338,1993,21.2,
2338,1996,21.2,
2338,1999,21.3,
2338,2002,21.5,
2338,2005,21.8,
2338,2014, NA,dead
2339,1993,4.0,
2339,1996, NA,dead
2766,1993,3.2,
2766,1996,3.2,
2766,1999,3.3,
2766,2002,3.3,
2766,2005,3.3,
2766,2014, NA,dead
WF027,2014,3.6,bark-stripped
WF028,2014,3.7,
3201,2002,3.5,
3201,2005,4.0,
3201,2014,5.5,bark-stripped
3202,2002,3.5,
3202,2005,4.1,
3202,2014,6.3,bark-stripped
3340,1993,5.6,
3340,1996,5.7,
3340,1999,5.8,
3340,2002,6.0,
3340,2005,6.0,
3340,2014,6.5,
3341,1993,14.4,
3341,1996,15.2,
3341,1999,15.9,
3341,2002,16.5,
3341,2005,17.1,
3341,2014,18.9,
3342,1993,8.0,
3342,1996,9.3,
3342,1999,10.4,
3342,2002,11.3,
3342,2005,12.0,
3342,2014,13.2,
3343,1993,11.5,
3343,1996,11.6,
3343,1999,12.3,
3343,2002,12.4,
3343,2005,12.7,
3343,2014,13.4,
3344,1993,4.9,
3344,1996,5.4,
3344,1999,5.8,
3344,2002,6.2,
3344,2005,6.5,
3344,2014,8.1,
3345,1993,5.4,
3345,1996,5.7,
3345,1999,5.7,
3345,2002,5.7,
3345,2005, NA,dead
3346,1993,6.5,
3346,1996, NA,dead
3347,1993,5.8,
3347,1996,5.7,
3347,1999,5.9,
3347,2002,6.0,
3347,2005,6.1,
3347,2014,6.9,
3348,1993,5.2,
3348,1996,5.2,
3348,1999, NA,dead
3349,1993,6.0,
3349,1996, NA,dead
3350,1993,10.3,
3350,1996,10.3,
3350,1999,10.3,
3350,2002,10.4,
3350,2005, NA,dead
3767,1993,3.8,
3767,1996,3.7,
3767,1999, NA,dead
3768,1993,3.2,
3768,1996,3.2,
3768,1999,3.3,
3768,2002,3.4,
3768,2005,3.6,
3768,2014,3.7,
WF038,2014,3.5,
WF043,2014,3.9,bark-stripped
WF044,2014,3.2,bark-stripped
WF045,2014,3.0,bark-stripped
WF117,2014,3.9,bark-stripped
4111,1999,3.2,
4111,2002,3.3,
4111,2005,3.3,
4111,2014,3.6,
4203,2002,3.2,
4203,2005,3.7,
4203,2014,5.1,
4351,1993,6.4,
4351,1996, NA,dead
4353,1993,5.5,
4353,1996,5.7,
4353,1999,5.8,
4353,2002,5.8,
4353,2005,5.7,
4353,2014,5.8,
4354,1993,6.2,
4354,1996,6.2,
4354,1999, NA,dead
4355,1993,11.6,
4355,1996,11.9,
4355,1999,12.0,
4355,2002,12.1,
4355,2005,12.1,
4355,2014, NA,dead
4356,1993,14.7,
4356,1996,15.8,
4356,1999,16.8,
4356,2002,17.6,
4356,2005,18.4,
4356,2014,20.3,
4357,1993,10.2,
4357,1996,9.9,
4357,1999, NA,dead
5247,2005,3.2,
5247,2014, NA,dead
5248,2005,3.8,
5248,2014,6.6,
5249,2005,3.4,
5249,2014, NA,dead
5250,2005,3.3,
5250,2014,4.8,
5358,1993,7.6,
5358,1996,7.9,
5358,1999,8.2,
5358,2002,8.5,
5358,2005,8.8,
5358,2014,9.5,bark-stripped/weaken
5359,1993,10.2,
5359,1996,10.6,
5359,1999,10.9,
5359,2002,11.4,
5359,2005,11.9,
5359,2014,12.3,bark-stripped
5360,1993,11.0,
5360,1996,13.0,
5360,1999,14.6,
5360,2002,16.3,
5360,2005,17.9,
5360,2014, NA,dead
5361,1993,29.0,
5361,1996,29.1,
5361,1999,29.3,
5361,2002,29.4,
5361,2005,29.3,frass
5361,2014, NA,dead
5362,1993,13.1,
5362,1996,13.1,
5362,1999,14.3,
5362,2002,15.0,
5362,2005,16.6,
5362,2014,23.5,bored
5364,1993,6.7,
5364,1996,7.1,
5364,1999,7.6,
5364,2002,8.0,
5364,2005,8.5,
5364,2014,12.7,
5365,1993,7.8,
5365,1996,8.0,
5365,1999,8.4,
5365,2002,8.7,
5365,2005,9.0,
5365,2014,10.2,
5366,1993,27.7,
5366,1996,28.4,
5366,1999,29.3,
5366,2002,30.0,
5366,2005,31.0,
5366,2014,31.8,
5367,1993,31.8,
5367,1996,32.5,
5367,1999,33.0,
5367,2002,33.4,
5367,2005,33.8,
5367,2014,36.9,
5605,1996,3.2,
5605,1999,4.0,
5605,2002,4.5,
5605,2005,5.0,
5605,2014,6.1,
5769,1993,3.7,
5769,1996, NA,dead
WF059,2014,3.4,
WF063,2014,3.1,
6112,1999,3.1,
6112,2002,3.2,
6112,2005,3.8,
6112,2014,5.4,bark-stripped
6113,1999,3.6,
6113,2002,4.1,
6113,2005,4.6,
6113,2014,6.6,
6114,1999,3.3,
6114,2002,3.9,
6114,2005,4.3,
6114,2014,5.5,
6204,2002,3.1,
6204,2005,3.4,
6204,2014,4.9,
6251,2005,3.1,
6251,2014,4.0,
6369,1993,9.2,
6369,1996,9.1,
6369,1999,9.2,
6369,2002,9.3,
6369,2005,9.2,
6369,2014, NA,dead
6370,1993,11.7,
6370,1996,12.2,
6370,1999,12.9,
6370,2002,13.5,
6370,2005,14.2,
6370,2014,16.8,
6371,1993,14.7,
6371,1996,15.1,
6371,1999,15.2,
6371,2002,15.4,
6371,2005, NA,dead
6372,1993,11.2,
6372,1996,11.2,
6372,1999,11.3,
6372,2002,11.3,
6372,2005,11.9,
6372,2014, NA,dead
6373,1993,4.9,
6373,1996,5.5,
6373,1999,6.5,
6373,2002,7.3,
6373,2005,7.8,
6373,2014,7.1,weaken
6374,1993,3.0,
6374,1996,3.0,
6374,1999, NA,dead
WF072,2014,4.7,
7115,1999,3.1,
7115,2002,3.5,
7115,2005,3.8,
7115,2014,4.2,
7205,2002,3.5,
7205,2005,3.6,
7205,2014,3.7,
7252,2005,3.3,
7252,2014, NA,dead
7253,2005,3.6,
7253,2014, NA,dead
7272,2005,3.6,
7272,2014,4.9,
7273,2005,3.8,
7273,2014,5.2,
7375,1993,20.3,
7375,1996,20.7,
7375,1999,20.9,
7375,2002,21.0,
7375,2005,20.9,
7375,2014, NA,dead
7377,1993,7.3,
7377,1996,7.5,
7377,1999,7.5,
7377,2002,7.6,
7377,2005,7.8,
7377,2014,10.1,
7378,1993,7.0,
7378,1996,7.0,
7378,1999,7.5,
7378,2002,7.6,
7378,2005,8.0,
7378,2014,10.1,
7379,1993,7.6,
7379,1996, NA,dead
7380,1993,3.9,
7380,1996, NA,dead
7381,1993,3.3,
7381,1996, NA,dead
7382,1993,19.0,
7382,1996,19.3,
7382,1999,19.4,
7382,2002,19.4,
7382,2005, NA,dead
8116,1999,3.5,
8116,2002, NA,dead
8206,2002,3.5,
8206,2005,3.8,
8206,2014,5.6,
8383,1993,13.7,
8383,1996,13.8,
8383,1999,14.1,
8383,2002, NA,dead
8384,1993,11.9,
8384,1996,12.2,
8384,1999,12.5,
8384,2002,12.7,
8384,2005,12.7,
8384,2014,13.3,bark-stripped
8385,1993,8.3,
8385,1996,8.3,
8385,1999,8.4,
8385,2002,8.4,
8385,2005,8.4,
8385,2014,8.2,shrunk
8386,1993,6.9,
8386,1996,7.1,
8386,1999,7.6,
8386,2002,7.9,
8386,2005,8.0,
8386,2014,8.9,
8387,1993,8.5,
8387,1996,9.2,
8387,1999,10.3,
8387,2002,10.4,
8387,2005,10.7,
8387,2014,12.7,
WF079,2014,6.5,bark-stripped
WF080,2014,5.0,
9207,2002,3.0,
9207,2005,3.0,
